Name,Compartment,Treat,Week,Group,Group_1,ID_its,ID_its_2,Group_common,Cultivar,plot
SRR8743134,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R20,TP8R20,1,t430,20
SRR8743135,Root,Control,TP08,RCO08,Root_Control_TP08,TP08R1,TP8R1,1,t430,1
SRR8743136,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R20,TP9R20,1,t430,20
SRR8743137,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R12,TP9R12,1,t430,12
SRR8743138,Root,Control,TP09,RCO09,Root_Control_TP09,TP09R1,TP9R1,1,t430,1
SRR8743139,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R20,TP10R20,1,t430,20
SRR8743140,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R12,TP10R12,1,t430,12
SRR8743141,Root,Control,TP10,RCO10,Root_Control_TP10,TP10R1,TP10R1,1,t430,1
SRR8743142,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R20,TP11R20,1,t430,20
SRR8743143,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R12,TP11R12,1,t430,12
SRR8743144,Root,Control,TP11,RCO11,Root_Control_TP11,TP11R01z,TP11R1,1,t430,1
SRR8743145,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R20,TP12R20,1,t430,20
SRR8743146,Root,Control,TP12,RCO12,Root_Control_TP12,TP12R12,TP12R12,1,t430,12
SRR8743147,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R20,TP13R20,1,t430,20
SRR8743148,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R1,TP13R1,1,t430,1
SRR8743149,Root,Control,TP13,RCO13,Root_Control_TP13,TP13R12,TP13R12,1,t430,12
SRR8743150,Root,Control,TP14,RCO14,Root_Control_TP14,TP14R12,TP14R12,1,t430,12
SRR8743151,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R12,TP15R12,1,t430,12
SRR8743152,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R20,TP15R20,1,t430,20
SRR8743153,Root,Control,TP15,RCO15,Root_Control_TP15,TP15R1t,TP15R1,1,t430,1
SRR8743154,Root,Control,TP16,RCO16,Root_Control_TP16,TP16R12,TP16R12,1,t430,12
SRR8743155,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R20,TP17R20,1,t430,20
SRR8743156,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R1,TP17R1,1,t430,1
SRR8743157,Root,Control,TP17,RCO17,Root_Control_TP17,TP17R12,TP17R12,1,t430,12
SRR8743158,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03,TP03R6,TP3R6,1,t642,6
