Name,Compartment,Treat,Week,Group,Group_1
DCLX009D_S4_L001_quant,Rhizosphere,Control,TP04,ZCO04,Rhizosphere_Control_TP04
DCLX009E_S5_L001_quant,Rhizosphere,Preflowering,TP10,ZPR10,Rhizosphere_Preflowering_TP10
DCLX010A_S6_L002_quant,Rhizosphere,Control,TP10,ZCO10,Rhizosphere_Control_TP10
DCLX010B_S7_L002_quant,Rhizosphere,Control,TP10,ZCO10,Rhizosphere_Control_TP10
DCLX010C_S8_L002_quant,Rhizosphere,Postflowering,TP10,ZPO10,Rhizosphere_Postflowering_TP10
DCLX010D_S9_L002_quant,Rhizosphere,Postflowering,TP10,ZPO10,Rhizosphere_Postflowering_TP10
DCLX011A_S1_L001_quant,Soil,Control,TP11,SCO11,Soil_Control_TP11
DCLX011B_S2_L001_quant,Soil,Control,TP11,SCO11,Soil_Control_TP11
DCLX011C_S3_L001_quant,Rhizosphere,Postflowering,TP11,ZPO11,Rhizosphere_Postflowering_TP11
DCLX011D_S4_L001_quant,Rhizosphere,Postflowering,TP11,ZPO11,Rhizosphere_Postflowering_TP11
DCLX012A_S5_L002_quant,Soil,Postflowering,TP11,SPO11,Soil_Postflowering_TP11
DCLX012B_S6_L002_quant,Soil,Postflowering,TP11,SPO11,Soil_Postflowering_TP11
DCLX012C_S7_L002_quant,Rhizosphere,Control,TP11,ZCO11,Rhizosphere_Control_TP11
DCLX012D_S8_L002_quant,Rhizosphere,Control,TP11,ZCO11,Rhizosphere_Control_TP11
SRR8743058_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03
SRR8743059_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03
SRR8743060_quant,Root,Preflowering,TP03,RPR03,Root_Preflowering_TP03
SRR8743061_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04
SRR8743062_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04
SRR8743063_quant,Root,Preflowering,TP04,RPR04,Root_Preflowering_TP04
SRR8743064_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05
SRR8743065_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05
SRR8743066_quant,Root,Preflowering,TP05,RPR05,Root_Preflowering_TP05
SRR8743067_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06
SRR8743068_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06
SRR8743069_quant,Root,Preflowering,TP06,RPR06,Root_Preflowering_TP06
SRR8743070_quant,Root,Preflowering,TP07,RPR07,Root_Preflowering_TP07
SRR8743071_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08
SRR8743072_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08
SRR8743073_quant,Root,Preflowering,TP08,RPR08,Root_Preflowering_TP08
