AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.009G147200,Sobic.006G030700,,Sobic.006G170600,Sobic.010G104300
Sobic.009G146800,Sobic.006G040000,,Sobic.006G179200,Sobic.010G112500
Sobic.004G193100,Sobic.006G049700,,Sobic.006G181900,Sobic.010G113300
Sobic.003G278200,Sobic.006G086900,,Sobic.006G182000,Sobic.010G113500
Sobic.006G093400,Sobic.006G186800,,Sobic.006G182200,Sobic.010G113600
Sobic.010G102800,Sobic.006G192100,,Sobic.006G183900,Sobic.010G122800
Sobic.006G062100,Sobic.006G222600,,Sobic.006G187401,Sobic.010G126500
Sobic.004G160000,Sobic.006G239800,,Sobic.006G191900,Sobic.010G127600
Sobic.006G061700,Sobic.007G018500,,Sobic.006G192700,Sobic.010G128800
Sobic.003G413600,Sobic.007G026500,,Sobic.006G193100,Sobic.010G128900
Sobic.006G061300,Sobic.007G059200,,Sobic.006G196900,Sobic.010G129000
Sobic.003G413700,Sobic.007G088600,,Sobic.006G198800,Sobic.010G129100
Sobic.001G184100,Sobic.007G121000,,Sobic.006G201300,Sobic.010G134700
Sobic.001G183700,Sobic.007G126800,,Sobic.006G202600,Sobic.010G146500
Sobic.001G184300,Sobic.007G139600,,Sobic.006G205500,Sobic.010G155600
Sobic.001G184000,Sobic.007G153400,,Sobic.006G209500,Sobic.010G164100
Sobic.003G164400,Sobic.007G160700,,Sobic.006G213500,Sobic.010G169300
Sobic.002G417500,Sobic.007G185200,,Sobic.006G214000,Sobic.010G192800
Sobic.007G075100,Sobic.007G186300,,Sobic.006G218600,Sobic.010G204000
Sobic.002G411500,Sobic.008G053800,,Sobic.006G218900,Sobic.010G206800
Sobic.002G130800,Sobic.008G133700,,Sobic.006G219100,Sobic.010G213900
Sobic.002G313900,Sobic.008G188900,,Sobic.006G222400,Sobic.010G218600
Sobic.010G197500,Sobic.009G002800,,Sobic.006G223900,Sobic.010G225251
Sobic.006G213500,Sobic.009G003300,,Sobic.006G226200,Sobic.010G225276
Sobic.004G250700,Sobic.009G011600,,Sobic.006G234300,Sobic.010G227150
Sobic.007G209900,Sobic.009G016600,,Sobic.006G235700,Sobic.010G233200
Sobic.006G210700,Sobic.009G073400,,Sobic.006G236800,Sobic.010G241500
Sobic.007G153001,Sobic.009G097100,,Sobic.006G245600,Sobic.010G242000
Sobic.002G143500,Sobic.009G157500,,Sobic.006G255300,Sobic.010G247600
Sobic.001G470900,Sobic.009G159200,,Sobic.006G262600,Sobic.010G251800
Sobic.001G244500,Sobic.009G205600,,Sobic.006G263300,Sobic.010G259500
Sobic.003G278600,Sobic.009G207500,,Sobic.006G267500,Sobic.010G260600
Sobic.007G123500,Sobic.009G208100,,Sobic.006G267800,Sobic.010G268900
Sobic.010G033800,Sobic.009G214100,,Sobic.006G270300,Sobic.010G269950
Sobic.001G496800,Sobic.009G215400,,Sobic.006G278000,
Sobic.003G227800,Sobic.009G242600,,Sobic.007G000700,
Sobic.003G227700,Sobic.009G257700,,Sobic.007G001500,
Sobic.003G227900,Sobic.010G004800,,Sobic.007G001900,
Sobic.003G228000,Sobic.010G034500,,Sobic.007G008400,
Sobic.003G228100,Sobic.010G039000,,Sobic.007G010000,
