"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743128_quant",1322,"3.2192","0.7286",8,"2.6639","0.8200","Root","Control",5,"RCO05","Root_Control_TP05","TP05R12","TP5R12",1,"t430",12,8,0.250579620598255,0.448323546739573,0.0722736296166894,7,-2.73604532095694,0.007,999,2.73604532095694
"SRR8743130_quant",5160,"4.5689","0.7760",10,"2.2522","0.6993","Root","Control",6,"RCO06","Root_Control_TP06","TP06R20","TP6R20",1,"t430",20,10,0.331202206231864,0.3838816974663,0.0841619875454793,289,-0.625929742996726,0.289,999,0.625929742996726
"SRR8743131_quant",1030,"3.6558","0.7645",10,"2.0704","0.6226","Root","Control",6,"RCO06","Root_Control_TP06","TP06R1","TP6R1",1,"t430",1,10,0.286069439530762,0.341843941348818,0.0748287488386052,261,-0.745361945558559,0.261,999,0.745361945558559
"SRR8743132_quant",2991,"2.5798","0.6152",15,"3.4847","0.8889","Root","Control",7,"RCO07","Root_Control_TP07","TP07R12","TP7R12",1,"t430",12,15,0.33984938742562,0.488304327764138,0.0537775557468713,11,-2.76053714745404,0.011,999,2.76053714745404
"SRR8743134_quant",3627,"6.5393","0.9235",15,"3.2304","0.8586","Root","Control",8,"RCO08","Root_Control_TP08","TP08R20","TP8R20",1,"t430",20,15,0.272403591221763,0.47082526290565,0.0618341588012099,2,-3.20893298349528,0.002,999,3.20893298349528
"SRR8743135_quant",5595,"4.2257","0.7099",11,"3.0616","0.8600","Root","Control",8,"RCO08","Root_Control_TP08","TP08R1","TP8R1",1,"t430",1,11,0.181876629239669,0.471144285562349,0.0628088169229624,1,-4.60552626994198,0.001,999,4.60552626994198
"SRR8743136_quant",2414,"5.0503","0.8505",14,"3.4075","0.8866","Root","Control",9,"RCO09","Root_Control_TP09","TP09R20","TP9R20",1,"t430",20,14,0.249445441071166,0.485048329225352,0.0559439300464277,1,-4.21141110320029,0.001,999,4.21141110320029
"SRR8743137_quant",3856,"6.7482","0.9279",21,"3.7837","0.8985","Root","Control",9,"RCO09","Root_Control_TP09","TP09R12","TP9R12",1,"t430",12,21,0.308522722277778,0.492307093042929,0.0502949907092173,2,-3.65412873476225,0.002,999,3.65412873476225
"SRR8743138_quant",2935,"2.8900","0.6108",11,"2.8435","0.8067","Root","Control",9,"RCO09","Root_Control_TP09","TP09R1","TP9R1",1,"t430",1,11,0.196647479291552,0.441171219122247,0.0684186050618137,1,-3.57393635268911,0.001,999,3.57393635268911
"SRR8743139_quant",3504,"7.3007","0.9584",12,"2.9183","0.8140","Root","Control",10,"RCO10","Root_Control_TP10","TP10R20","TP10R20",1,"t430",20,12,0.175474904443526,0.445413934906673,0.0641397978468195,1,-4.20860432251163,0.001,999,4.20860432251163
"SRR8743140_quant",5449,"7.6666","0.9630",12,"3.0626","0.8476","Root","Control",10,"RCO10","Root_Control_TP10","TP10R12","TP10R12",1,"t430",12,12,0.268140571113866,0.465103271494767,0.0627410422404848,3,-3.13929595918965,0.003,999,3.13929595918965
"SRR8743142_quant",4655,"7.9261","0.9684",15,"3.4564","0.8792","Root","Control",11,"RCO11","Root_Control_TP11","TP11R20","TP11R20",1,"t430",20,15,0.279624857174013,0.481739518417308,0.0552514677136719,2,-3.65808673700233,0.002,999,3.65808673700233
"SRR8743143_quant",4888,"8.0932","0.9747",18,"3.6036","0.8921","Root","Control",11,"RCO11","Root_Control_TP11","TP11R12","TP11R12",1,"t430",12,18,0.264939733662994,0.487304446453065,0.0538499793031463,1,-4.12933701493695,0.001,999,4.12933701493695
"SRR8743144_quant",6961,"7.6321","0.9347",14,"3.2692","0.8710","Root","Control",11,"RCO11","Root_Control_TP11","TP11R01z","TP11R1",1,"t430",1,14,0.189998360030303,0.477039161131173,0.0587518592345672,1,-4.88564625597392,0.001,999,4.88564625597392
"SRR8743145_unmaped_quant",12352,"10.0569","0.9897",14,"3.4768","0.8958","Root","Control",12,"RCO12","Root_Control_TP12","TP12R20","TP12R20",1,"t430",20,14,0.280561538018365,0.489524700794046,0.0536189930639611,2,-3.89718550899328,0.002,999,3.89718550899328
"SRR8743146_quant",8312,"9.1127","0.9768",17,"3.6690","0.9031","Root","Control",12,"RCO12","Root_Control_TP12","TP12R12","TP12R12",1,"t430",12,17,0.311059075545914,0.494073484939257,0.051833247807597,2,-3.53083044444149,0.002,999,3.53083044444149
"SRR8743147_quant",13418,"9.4266","0.9795",13,"2.9882","0.8163","Root","Control",13,"RCO13","Root_Control_TP13","TP13R20","TP13R20",1,"t430",20,13,0.185557482511478,0.444918288216815,0.0651122907563631,1,-3.98328491737161,0.001,999,3.98328491737161
"SRR8743148_quant",9036,"7.0963","0.9078",14,"3.1605","0.8526","Root","Control",13,"RCO13","Root_Control_TP13","TP13R1","TP13R1",1,"t430",1,14,0.22075955370753,0.467816180271604,0.0635736904478597,2,-3.88614574399607,0.002,999,3.88614574399607
"SRR8743149_quant",12096,"9.3697","0.9819",13,"3.2832","0.8756","Root","Control",13,"RCO13","Root_Control_TP13","TP13R12","TP13R12",1,"t430",12,13,0.277468544660239,0.477439198934064,0.058331568582045,3,-3.4281720710555,0.003,999,3.4281720710555
"SRR8743150_quant",15072,"10.5429","0.9949",11,"3.1382","0.8678","Root","Control",14,"RCO14","Root_Control_TP14","TP14R12","TP14R12",1,"t430",12,11,0.238670233553719,0.473214522315007,0.0613713633788348,2,-3.82172198641713,0.002,999,3.82172198641713
"SRR8743151_quant",13233,"9.2160","0.9675",13,"3.3880","0.8907","Root","Control",15,"RCO15","Root_Control_TP15","TP15R12","TP15R12",1,"t430",12,13,0.280975186144628,0.486800626929951,0.0563296272312859,1,-3.65394643817217,0.001,999,3.65394643817217
