,Group_2,Group_1,RCO02,RCO03,RCO04,RCO05,RCO06,RCO07,RCO08,RCO09,RCO10,RCO11,RCO12,RCO13,RCO14,RCO15,RCO16,RCO17,RPR03,RPR04,RPR05,RPR06,RPR07,RPR08,RPR09,RPR10,RPR11,RPR12,RPR13,RPR14,RPR15,RPR16,RPR17,RPO09,RPO10,RPO11,RPO12,RPO13,RPO14,RPO15,RPO16,RPO17,ZCO03,ZCO04,ZCO08,ZCO09,ZCO10,ZCO11,ZPR03,ZPR04,ZPR08,ZPR09,ZPR10,ZPO10,ZPO11,SCO04,SCO08,SCO09,SCO10,SCO11,SPR04,SPR08,SPR09,SPR10,SPO10,SPO11
jgi.Rhice1_1.812888.gm1.1672_g,SPX,PT,0,0,0,0,0.4699,0,4.38765,0,2.2271833,2.0802833,7.84756,7.58988,14.5679,6.986474,0,8.4241,0,0,0,0,0,0,0,0,0,0,1.6710017,2.24854,2.420045,4.170515,7.3801,4.98761,4.1947633,2.3907233,6.286975,0.7617433,0,0,0,1.5960533,0.647835,0,0.262386,0,0,0,0,0,0,0,0,0.3018095,0.216552,0.4942725,0.65913,0.249273,0,1.094103,0,0,0,0.4188075,0.947776,0.696124
jgi.Rhidi1.621919.e_gw1.114.47.1,SPX,PT,0,0,0,0,0,0,1.8114667,0,0,2.0707333,5.4473,0,5.94097,7.7203,0,3.0384833,0,0,0,0,0,0,0,0,0,7.3497333,1.6249583,4.467785,0,3.791095,5.3133,2.2588667,3.1983167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389463,0,0,0,0.4848365,0.39487,0,0,0,0,0.439083,0
jgi.Rhice1_1.697754.e_gw1.408.8.1,SPX,PT,2.765,0,0,0,0,0.754905,0,0,0.9229533,0.8568083,3.73962,2.9110433,1.01601,1.819686,0.474396,2.829545,0,0,0,0,0,0,0,0,2.0253,3.5053667,0,0,0,0,1.1730117,0,0.5942533,2.6462933,4.09447,0,2.35946,2.2486433,0,0,0,0,0,0,0.1944875,0,0,0,0,0,0,0,0,0.2266865,0.8402565,0,0,0.7163225,1.050565,0,0,0,0.2039375,0.350085
jgi.Rhice1_1.814896.gm1.3680_g,SPX,PT,0,0,0,0,0,0,0.5266267,0,1.9282317,1.2040067,2.274994,2.4241533,0,0.943732,3.56007,4.45975,0,0,0,0,0,0,0,0,0,0,0,0,1.8521,0,2.3305,0,0.8283517,0,11.1738,0.9113667,0,0,0,0,0,0,0.8462885,0,0,0,0,0,0,0.89539,0,0,0,0,0.75569,0,0.419016,0.9514,0,0,0,0,0,0
jgi.Rhice1_1.850558.MIX7504_40_53,SPX,PT,0.8775967,0,0,0,0,0,0,0,0,0,0,1.1411083,0,0.91005,0,2.2528017,0,0,0,0,0,0,0,2.7349833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484765,0,0,0,0,0,0.94262,0,0,0,0,0,0,0,2.6799,0,0.470113,0,0,0
jgi.Rhidi1.819748.estExt_Genemark1.C_5190004,SPX,PT,0,0,0,0,0,0,4.2036333,0,0,0,0,1.654715,0,0,0,0.7708583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3821217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.RhiirA4.505709.MIX12248_34_31,SPX,PT,0,0,0,0,0,0,0,0,0,0,2.73418,0,0,0,1.29557,1.1534583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2332335,0.3540265,0,0,0.234318,0,0.160949
jgi.Rhidi1.802426.MIX23722_77_13,SPX,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2166525,0,0,0,0,0
jgi.Rhice1_1.721132.estExt_Genewise1Plus.C_520042,SPX,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.194543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jgi.Gloin1.34584.gm1.34472_g,SPX,PT,0,0,0,0,0.80205,0,0,0,0,0,0,0.000001,0,0,0,1.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
