"","OTU51Rhizophagus","OTU70Claroideoglomus","OTU166Rhizophagus","OTU150Rhizophagus","OTU253Funneliformis","OTU118Rhizophagus","OTU161Rhizophagus","OTU132Rhizophagus","OTU133Glomus","OTU206Glomus","OTU213Rhizophagus","OTU935Rhizophagus","OTU126Glomus","OTU251Rhizophagus","OTU558Funneliformis","OTU323Glomus","OTU224Glomus","OTU229Glomus","OTU355Funneliformis","OTU408Fungi","OTU347Rhizophagus","OTU476Glomus","OTU277Glomus","OTU565Funneliformis","OTU491Claroideoglomus","OTU368Fungi","OTU400Glomus","OTU333Glomus","OTU435Glomus","OTU534Glomus","OTU944Rhizophagus","OTU553Fungi","OTU536Claroideoglomus","OTU682Fungi","OTU551Fungi","OTU989Funneliformis","OTU498Glomus","OTU579Glomus","OTU987Paraglomus","OTU683Fungi","OTU734Rhizophagus","OTU568Fungi","OTU715Glomus","OTU574Glomus","OTU986Fungi","OTU659Glomus","OTU660Fungi","OTU1068Glomus","OTU564Glomus","OTU735Claroideoglomus","OTU597Paraglomus","OTU998Glomus","OTU1184Rhizophagus","OTU1065Claroideoglomus","OTU936Claroideoglomus","OTU1063Fungi","OTU1070Fungi","OTU1105Fungi","OTU1197Claroideoglomus","OTU1274Paraglomus","OTU1103Fungi","OTU969Claroideoglomus","OTU1013Glomeraceae","OTU975Paraglomus","OTU945Glomus"
"SRR8743132_quant",7,7,15,6,3,3,2,4,7,0,3,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743134_quant",14,4,16,5,7,7,1,3,1,0,3,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743135_quant",11,1,16,4,4,7,6,7,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743136_quant",9,3,13,7,1,6,10,4,3,0,3,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743137_quant",8,3,15,6,3,5,5,1,0,0,5,0,2,1,0,3,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743138_quant",14,2,23,4,3,7,3,4,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743139_quant",7,2,24,8,0,6,5,6,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743140_quant",2,1,9,5,0,0,0,2,19,0,5,0,10,1,0,5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743142_quant",3,0,17,9,0,3,6,3,6,0,4,0,3,0,0,4,0,2,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8743143_quant",5,0,14,8,0,4,9,4,2,2,1,0,7,1,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
