Category,Description
jgi|Gloin1|137076|CE36952_4078,AMF
jgi|RhiirA4|434566|fgenesh1_pm.251_#_1,AMF
jgi|Rhidi1|749808|gm1.882_g,AMF
jgi|Rhidi1|706111|fgenesh1_kg.257_#_47_#_TRINITY_GG_5229_c1_g2_i1,AMF
jgi|Rhidi1|635005|estExt_Genewise1.C_30053,AMF
jgi|Rhicl1|600|transcript:GBB84317,AMF
jgi|Rhicl1|6210|transcript:GBB83243,AMF
jgi|Rhicl1|21657|transcript:GBC09583,AMF
jgi|Rhicl1|24724|transcript:GBB88938,AMF
jgi|Gloin1|349036|fgenesh1_kg.23443_#_1_#_ACTTGA_L001_R1_(paired)_contig_2809,AMF
jgi|RhiirA4|543520|estExt_Genemark1.C_4630016,AMF
jgi|Rhiir2_1|1829389|MIX36818_18598_33,AMF
jgi|Rhicl1|21948|transcript:GBC09863,AMF
jgi|Rhice1_1|710641|estExt_Genewise1.C_1140075,AMF
jgi|RhiirA1_1|529554|estExt_Genemark1.C_460011,AMF
jgi|Rhicl1|2457|transcript:GBB93575,AMF
jgi|RhiirC2|734783|fgenesh1_kg.193_#_126_#_TR18074|c1_g2_i1,AMF
jgi|Rhicl1|4466|transcript:GBB95258,AMF
jgi|RhiirA1_1|427259|fgenesh1_kg.1396_#_2_#_ACTTGA_L001_R1_(paired)_contig_1242,AMF
jgi|Gloin1|347483|fgenesh1_kg.19929_#_12_#_ACTTGA_L001_R1_(paired)_contig_339,AMF
jgi|Gloin1|347589|fgenesh1_kg.20185_#_2_#_ACTTGA_L001_R1_(paired)_contig_471,AMF
jgi|Rhice1_1|694578|e_gw1.220.52.1,AMF
jgi|Rhicl1|22009|transcript:GBC09924,AMF
jgi|Rhicl1|7759|transcript:GBB85555,AMF
jgi|Rhicl1|424|transcript:GBB91863,AMF
jgi|Gloin1|66221|e_gw1.2600.4.1,AMF
jgi|Rhicl1|13783|transcript:GBC02193,AMF
jgi|Gloin1|100201|CE77_342,AMF
jgi|Rhicl1|19291|transcript:GBC07364,AMF
jgi|Rhicl1|9601|transcript:GBB85974,AMF
jgi|Rhicl1|19103|transcript:GBC07204,AMF
jgi|Rhicl1|20185|transcript:GBB83652,AMF
jgi|Gloin1|345746|fgenesh1_kg.16496_#_1_#_ACTTGA_L001_R1_(paired)_contig_7619,AMF
jgi|Gloin1|99316|fgenesh1_pg.25942_#_1,AMF
jgi|Rhidi1|773792|gm1.24866_g,AMF
jgi|Gloin1|232691|CE132567_823,AMF
jgi|Rhice1_1|773272|fgenesh1_kg.229_#_8_#_TRINITY_DN11381_c1_g1_i7,AMF
jgi|Rhidi1|742881|estExt_fgenesh1_pg.C_2040009,AMF
jgi|Gloin1|334395|fgenesh1_kg.596_#_1_#_ACTTGA_L001_R1_(paired)_contig_3024,AMF
jgi|Rhidi1|762988|gm1.14062_g,AMF
jgi|Rhidi1|695869|fgenesh1_kg.130_#_53_#_TRINITY_GG_5035_c24_g1_i2,AMF
jgi|Rhicl1|4480|transcript:GBB95272,AMF
jgi|Rhidi1|815397|estExt_Genemark1.C_1990030,AMF
jgi|Rhicl1|1024|transcript:GBB92394,AMF
jgi|Rhidi1|683809|fgenesh1_kg.25_#_113_#_TRINITY_GG_837_c49_g2_i3,AMF
jgi|RhiirA4|401321|fgenesh1_kg.384_#_8_#_ACTTGA_L001_R1_(paired)_contig_7196,AMF
jgi|Rhidi1|809462|estExt_Genemark1.C_100035,AMF
jgi|RhiirA4|409778|fgenesh1_kg.1556_#_2_#_ACTTGA_L001_R1_(paired)_contig_1063,AMF
jgi|Rhiir2_1|1603333|fgenesh1_kg.105_#_388_#_TRINITY_DN2933_c0_g1_i1,AMF
jgi|Rhiir2_1|301587|CE301454_101064,AMF
jgi|Gloin1|7804|gm1.7692_g,AMF
jgi|Rhidi1|734080|fgenesh1_pm.257_#_5,AMF
jgi|Rhicl1|19430|transcript:GBC07494,AMF
